price_date,ticker,price,price_std
2014-01-07,DVA,65.2,1.3305
2014-01-14,DVA,64.97,0.8646
2014-01-15,DVA,64.48,0.8024
2014-02-07,DVA,63.62,1.0513
2014-03-11,DVA,68.69,1.0057
2014-03-17,DVA,68.48,0.3588
2014-03-19,DVA,69.79,0.4381
2014-04-16,DVA,69.16,0.732
2014-04-21,DVA,69.62,0.8261
2014-04-24,DVA,69.38,0.846
2014-05-22,DVA,68.16,0.3583
2014-06-06,DVA,71.91,1.6549
2014-06-17,DVA,70.18,0.6716
2014-06-25,DVA,71.86,0.5815
2014-08-08,DVA,71.85,0.4228
2014-08-19,DVA,73.8,0.8651
2014-09-04,DVA,74.12,0.678
2014-10-02,DVA,73.74,0.6668
2014-10-10,DVA,73.42,0.6564
2014-10-16,DVA,72.03,0.7399
2014-10-28,DVA,77.58,1.7589
2014-12-09,DVA,75.15,0.5855
2014-12-12,DVA,73.4,0.8361
2014-12-19,DVA,75.94,1.0929
2015-01-06,DVA,73.62,1.0927
2015-01-09,DVA,75.22,0.8089
2015-01-21,DVA,75.73,0.671
2015-01-23,DVA,75.85,0.7176
2015-01-29,DVA,76.14,0.6643
2015-03-10,DVA,78.1,1.8248
2015-05-08,DVA,82.17,0.9314
2015-05-22,DVA,84.09,1.0427
2015-06-09,DVA,81.49,0.8788
2015-06-19,DVA,82.19,0.8972
2015-07-15,DVA,79.67,0.6791
2015-07-17,DVA,79.97,0.3961
2015-08-05,DVA,80.49,0.6279
2015-10-06,DVA,72.15,1.7798
2015-10-14,DVA,73.24,0.8375
2015-10-22,DVA,74.98,1.53
2015-11-19,DVA,73.21,2.045
2015-11-20,DVA,73.53,1.9223
2015-12-15,DVA,68.02,1.948
2015-12-30,DVA,70.02,1.1157
2016-01-06,DVA,68.16,0.9551
2016-01-14,DVA,67.45,1.3923
2016-02-08,DVA,62.24,1.3701
2016-03-22,DVA,72.69,1.0389
2016-03-28,DVA,71.5,1.0859
2016-03-29,DVA,72.71,1.0858
2016-06-02,DVA,77.93,0.5702
2016-06-28,DVA,74.61,0.8802
2016-08-03,DVA,76.08,0.6869
2016-09-26,DVA,66.15,1.1137
